"id_cust","recency","frequency","monetary"
"1418513720",119,12,3952724
"1418513721",119,12,3952724
"1418513722",119,12,3952724
"1418513723",119,15,4940905
"1428513724",116,21,6917267
"1428513725",116,21,6917267
"1428513726",116,21,6917267
"1428513727",116,21,6917267
"1428513728",116,21,6917267
"1428513729",116,21,6917267
"1428513730",116,21,6917267
"1428513731",116,21,6917267
"1428513732",116,25,6921812
"1228513733",116,15,4940905
"1328513734",128,3,2113635
"1328513735",128,3,2113635
"1328513736",128,3,2113635
"1328513738",128,3,2113635
"1328513739",128,3,2113635
"1328513740",128,3,2113635
"1328513741",128,3,2113635
"1328513742",128,3,2113635
"1328513743",128,3,2113635
"1328513744",128,3,2113635
"1328513745",90,18,7054540
"1328513746",90,18,7054540
"1328513747",90,18,7054540
"1328513748",90,18,7054540
"1328513749",90,18,7054540
"1328513750",90,18,7054540
"1328513751",90,18,7054540
"1328513752",90,18,7054540
"1328513753",90,18,7054540
"1328513754",90,18,7054540
"1328513755",128,3,2113635
"1328513756",128,3,2113635
"1328513757",128,3,2113635
"1328513758",128,3,2113635
"1328513759",128,3,2113635
"1328513760",128,3,2113635
"1328513761",128,3,2113635
"1328513762",128,3,2113635
"1328513763",128,3,2113635
"1328513764",128,3,2113635
"1328513765",128,3,2113635
"1328513766",128,2,1409090
"1328513767",128,2,1409090
"1328513768",128,2,1409090
"1328513769",128,2,1409090
"1328513770",128,2,1409090
"1328513771",128,2,1409090
"1328513772",128,2,1409090
"1328513773",128,2,1409090
"1288513774",128,1,704545
"1288513775",128,1,704545
"1288513776",128,1,704545
"1288513778",128,1,704545
"1288513779",128,1,704545
"1288513780",128,1,704545
"1288513781",128,1,704545
"1288513782",128,1,704545
"1288513783",128,1,704545
"1288513784",128,1,704545
"1288513785",128,1,704545
"1288513786",70,11,2488178
"1288513787",88,4,1692726
"1288513788",88,4,1692726
"1288513789",88,4,1692726
"1318513790",88,5,2397271
"1318513791",88,5,2397271
"1318513792",88,5,2397271
"1318513793",88,5,2397271
"1318513794",88,5,2397271
"1318513795",88,5,2397271
"1318513796",94,8,3385452
"1318513797",94,8,3385452
"1318513798",93,11,4373633
"1318513799",93,11,4373633
"1318513800",93,11,4373633
"1318513801",73,27,6191809
"1318513802",73,27,6191809
"1318513803",73,27,6191809
"1318513804",73,27,6191809
"1318513805",73,27,6191809
"1378513806",73,46,11699986
"1378513807",73,46,11699986
"1378513808",74,35,9802717
"1378513809",74,35,9802717
"1378513810",74,35,9802717
"928513811",74,11,1897269
"1378513812",92,30,9881810
"1378513813",92,31,10023628
"1378513814",92,30,9881810
"1378513815",92,31,10023628
"1378513816",123,28,9035447
"1378513817",126,29,9177265
"1378513818",126,30,9881810
"1378513819",126,30,9881810
"1378513820",126,30,9881810
"1378513821",126,30,9881810
"1378513822",126,30,9881810
"1378513823",126,30,9881810
"1378513824",73,38,10790898
"1378513825",73,38,10790898
"1378513826",126,30,9881810
"1378513827",126,30,9881810
"1378513828",126,30,9881810
"1378513829",126,30,9881810
"1378513830",126,30,9881810
"1378513831",126,30,9881810
"1378513832",126,34,9886355
"1378513833",72,38,10790898
"1378513834",88,38,12141808
"1378513835",88,38,12141808
"1378513836",88,26,8189084
"1378513837",88,26,8189084
"1378513839",88,26,8189084
"1378513840",88,26,8189084
"1378513841",88,26,8189084
"1378513842",88,29,9177265
"1378513843",88,26,8189084
"1378513844",88,26,8189084
"1378513845",88,26,8189084
"1378513846",88,25,8047266
"1378513847",89,19,6070904
"1378513848",89,19,6633631
"1378513849",89,18,6491813
"1378513850",89,19,6633631
"1378513851",126,18,5929086
"1378513852",126,18,5929086
"1378513853",126,18,5929086
"1378513854",126,18,5929086
"1378513855",126,18,5929086
"1378513856",126,18,5929086
"1378513857",126,18,5929086
"1378513858",126,18,5929086
"1378513859",126,25,6921812
"1378513860",126,24,7905448
"1378513861",123,28,9035447
"1378513862",123,28,9035447
"1378513863",123,28,9035447
"1378513864",123,28,9035447
"1378513865",123,28,9035447
"1378513866",123,28,9035447
"1378513867",125,34,9886355
"1378513868",125,34,9886355
"1378513869",125,34,9886355
"1378513870",125,34,9886355
"1378513871",125,34,9886355
"1378513872",123,34,9886355
"1378513873",123,32,9039992
"1378513874",123,32,9039992
"1378513875",123,32,9039992
"1378513876",123,32,9039992
"1378513877",123,32,9039992
"1378513878",123,32,9039992
"1378513879",89,36,10732718
"1378513880",89,36,10732718
"1378513881",89,36,10732718
"1378513882",89,32,10728173
"1378513883",89,32,10728173
"1378513884",89,32,10728173
"1378513885",89,31,10586355
"1378513886",89,33,10869991
"1038699894",25,4,847272
"1038699895",103,1,141818
"898700315",89,1,9091
"118771267",11,2,945454
"118781173",3,6,509091
"878821693",87,12,763632
"78823662",7,1,16500
"968890614",96,1,20500
"1028899737",102,1,21950
"298964495",29,1,422727
"658966590",65,1,28182
"1398967277",139,1,27273
"1318967310",6,8,690908
"1449011053",116,17,6349995
"1449011054",73,24,6554538
"1449011055",116,16,5645450
"1449012192",116,23,7200903
"1449012193",95,24,7905448
"1449012194",116,23,7200903
"1449012195",116,23,7200903
"1449012196",116,23,7200903
"1449012197",116,22,7621812
"1449012198",116,22,7621812
"1449012199",116,22,7621812
"1449012200",116,22,7621812
"1449012201",115,25,8609993
"1449012202",115,25,8609993
"1449012203",115,25,8609993
"1449012204",115,24,8468175
"1449012205",115,25,8609993
"1449012206",115,25,8609993
"1449012207",115,25,8609993
"1449012208",115,25,8609993
"1449012209",109,22,7621812
"1449012210",109,22,7621812
"1449012211",109,22,7621812
"1449012212",109,22,7621812
"1449012213",111,21,6917267
"1449012214",111,21,6917267
"1449012215",111,21,6917267
"1449012216",111,21,6917267
"1449012217",111,21,6917267
"1449012219",111,24,7905448
"1449012220",100,27,8893629
"1449012221",100,27,8893629
"1449012224",100,30,9881810
"1449012225",100,37,10874536
"1449012226",100,33,10869991
"1449012227",100,33,10869991
"1449012228",100,33,10869991
"1449012229",100,33,10869991
"1449012230",100,33,10869991
"1449012231",100,33,10869991
"1449012232",100,33,10869991
"1449012234",100,33,10869991
"1449012235",100,33,10869991
"1449012236",100,26,7063630
"1449012237",100,24,7905448
"1449012238",100,24,7905448
"1449012239",100,27,8893629
"1449012240",100,27,8893629
"1449012241",100,27,8893629
"1449012242",100,27,8893629
"1449012243",100,27,8893629
"1449012244",100,26,8751811
"1449012245",100,30,9881810
"1449012246",100,30,9881810
"1449012247",100,30,9881810
"1449012248",100,30,9881810
"1449012249",100,30,9881810
"1449012250",100,30,9881810
"1449012251",100,30,9881810
"1449012252",100,30,9881810
"1449012253",100,30,9881810
"1449012254",100,30,9881810
"1449012255",100,30,9881810
"1449012256",100,42,13834534
"1449012257",100,42,13834534
"1449012258",100,42,13834534
"1449012259",100,42,13834534
"1449012260",100,42,13834534
"1449012261",100,42,13834534
"1449012262",100,42,13834534
"1449012263",100,42,13834534
"1449012264",100,42,13834534
"1449012265",100,42,13834534
"1449012266",100,42,13834534
"1449012267",100,42,13834534
"1449012268",103,42,13834534
"1449012269",103,42,13834534
"1449012270",103,42,13834534
"1449012271",103,42,13834534
"1449012272",103,42,13834534
"1449012273",103,42,13834534
"1449012274",103,42,13834534
"1449012275",103,42,13834534
"1449012276",103,45,14822715
"1449012277",103,43,13976352
"1449012278",103,43,13976352
"1449012279",103,43,13976352
"1449012280",103,43,13976352
"1449012281",103,42,13834534
"1449012282",103,40,12988171
"1449012283",103,40,12988171
"1449012284",103,46,14964533
"1189019569",103,6,1976362
"1189019570",103,6,1976362
"1189019571",103,6,1976362
"1189019572",103,6,1976362
"1189019573",103,6,1976362
"1189019574",103,6,1976362
"1199019575",103,9,2964543
"1199019576",103,9,2964543
"1199019577",103,9,2964543
"1199019578",103,9,2964543
"1199019579",103,9,2964543
"1449019580",103,10,3106361
"1199019581",103,9,2964543
"1449019582",103,10,3106361
"1449019583",103,11,3248179
"1449019584",103,10,3106361
"1199019585",103,9,2964543
"1199019586",103,9,2964543
"1199019587",103,9,2964543
"1449019588",103,10,3106361
"1449019589",103,9,2964543
"1449019590",103,11,3810906
"1449019591",103,11,3810906
"1449019592",103,13,3531815
"1449019593",103,9,2964543
"1449019594",103,9,2964543
"1449019596",103,9,2964543
"1449019597",72,17,3873631
"1449019598",96,34,9886355
"1449019599",96,27,8330902
"1449019600",101,28,9035447
"1449019601",96,32,10165446
"1449019602",96,30,9319083
"1449019603",96,29,8614538
"1449019604",99,30,9319083
"1449019605",99,31,9460901
"1439019606",99,32,10728173
"1439019607",99,33,10869991
"1449019608",99,25,8609993
"1449019609",99,25,8609993
"1449019610",99,25,8609993
"1399019611",99,25,8047266
"1399019612",99,25,8047266
"1399019613",99,28,9035447
"1399019614",99,28,9598174
"1399019615",99,30,9881810
"1399019616",99,31,10023628
"1399019617",99,29,9739992
"1399019618",99,28,9598174
"1399019619",99,29,9739992
"1399019620",99,29,9739992
"1399019621",99,38,12704535
"1399019622",99,38,12704535
"1399019623",99,38,12704535
"1399019624",98,36,11858172
"1449019625",98,37,12562717
"1449019626",101,37,12562717
"1449019627",98,40,12425444
